rank,pls_min_mv,driver,points,back,starts,pole,win,top_5,top_10,winnings,year,race_num
9,+1,Rusty Wallace,381,-126,3,1,0,0,1,"$430,950",2002,3
10,-1,Matt Kenseth,375,-132,3,1,1,1,1,"$393,937",2002,3
11,+11,Tony Stewart,359,-148,3,2,0,2,2,"$664,235",2002,3
12,+1,Bobby Labonte,358,-149,3,0,0,1,1,"$456,474",2002,3
13,+8,Jimmie Johnson,352,-155,3,4,0,0,1,"$288,347",2002,3
14,-8,Ricky Craven,342,-165,3,2,0,1,1,"$320,091",2002,3
15,-3,Elliott Sadler,324,-183,3,0,0,1,1,"$1,095,780",2002,3
16,+13,Dale Jarrett,309,-198,3,1,0,0,1,"$432,205",2002,3
17,+3,Michael Waltrip,300,-207,3,0,0,1,1,"$535,150",2002,3
18,+18,Jeremy Mayfield,297,-210,3,0,0,1,1,"$418,882",2002,3
19,-5,Johnny Benson Jr,295,-212,3,0,0,0,1,"$337,847",2002,3
20,-2,Kenny Wallace,294,-213,3,0,0,0,1,"$379,050",2002,3
21,+3,Dave Blaney,294,-213,3,0,0,0,0,"$306,944",2002,3
22,+4,Jerry Nadeau,290,-217,3,0,0,0,0,"$297,095",2002,3
23,+7,Ricky Rudd,287,-220,3,1,0,0,0,"$411,027",2002,3
24,-9,Jeff Green,287,-220,3,0,0,0,0,"$271,874",2002,3
25,+6,Dale Earnhardt Jr,281,-226,3,2,0,0,0,"$441,354",2002,3
26,-9,Robby Gordon,267,-240,3,0,0,0,0,"$334,738",2002,3
27,-11,Terry Labonte,267,-240,3,0,0,0,0,"$381,401",2002,3
28,-1,Kevin Harvick,254,-253,3,1,0,0,0,"$382,479",2002,3
29,-6,Brett Bodine,246,-261,3,0,0,0,0,"$266,426",2002,3
30,+10,Jimmy Spencer,242,-265,2,0,0,0,1,"$189,073",2002,3
31,-12,Bobby Hamilton,239,-268,3,0,0,0,1,"$282,077",2002,3
32,+2,Ken Schrader,233,-274,3,0,0,0,0,"$324,167",2002,3
33,-8,John Andretti,230,-277,3,0,0,0,0,"$320,344",2002,3
34,+1,Todd Bodine,218,-289,3,1,0,0,0,"$273,965",2002,3
35,+3,Joe Nemechek,213,-294,3,0,0,0,0,"$316,598",2002,3
36,-3,Mike Skinner,210,-297,3,0,0,0,0,"$240,660",2002,3
37,+7,Hut Stricklin,178,-329,2,0,0,0,0,"$131,772",2002,3
38,+4,Kyle Petty,170,-337,3,0,0,0,0,"$227,887",2002,3
39,-11,Geoffrey Bodine,165,-342,1,0,0,1,1,"$688,641",2002,3
40,-3,Stacy Compton,162,-345,3,0,0,0,0,"$263,173",2002,3
41,-9,Mike Wallace,149,-358,2,0,0,0,0,"$225,847",2002,3
42,-3,Casey Atwood,144,-363,3,0,0,0,0,"$251,354",2002,3
43,+3,Buckshot Jones,134,-373,2,0,0,0,0,"$125,738",2002,3
44,-1,Shawna Robinson,128,-379,2,0,0,0,0,"$195,439",2002,3
45,--,Rick Mast,104,-403,2,0,0,0,0,"$109,712",2002,3
46,-5,Robert Pressley,97,-410,1,0,0,0,0,"$150,859",2002,3
47,--,Dave Marcis,37,-470,1,0,0,0,0,"$137,110",2002,3
1,--,Sterling Marlin,645,0,4,0,1,2,4,"$924,935",2002,4
2,--,Ryan Newman,571,-74,4,6,0,1,3,"$595,276",2002,4
3,+2,Ward Burton,565,-80,4,1,1,1,2,"$1,683,430",2002,4
4,--,Mark Martin,557,-88,4,0,0,1,3,"$705,809",2002,4
5,+6,Tony Stewart,544,-101,4,2,1,3,3,"$839,213",2002,4
6,+4,Matt Kenseth,540,-105,4,1,1,2,2,"$485,637",2002,4
7,+1,Kurt Busch,535,-110,4,1,0,1,1,"$719,276",2002,4
8,+1,Rusty Wallace,531,-114,4,1,0,0,2,"$521,575",2002,4
9,-6,Jeff Burton,520,-125,4,0,0,0,2,"$503,677",2002,4
10,+3,Jimmie Johnson,517,-128,4,4,0,1,2,"$360,697",2002,4
